name,ngram,textfreq,corpfreq,diff,diffsum,length, ngram,etc
fragments of psalms psalm 89.txt,er,0.02572899,0.00663081,0.01909818,0.01909818,583,um,0.01886792,0.00870711,0.01016081,0.02925899,583,os,0.01886792,0.0013865,0.01748143,0.04674042,583,es,0.01715266,0.01329797,0.00385469,0.05059511,583,ge,0.01715266,0.01592455,0.00122811,0.05182322,583,
genesis.txt,an,0.02055448,0.01912302,0.00143146,0.00143146,104892,ea,0.0159116,0.01641587,0.00050426,0.00193572,104892,eo,0.01396675,0.01481712,0.00085038,0.00278609,104892,on,0.0136426,0.01616333,0.00252073,0.00530682,104892,de,0.01283225,0.01264649,0.00018576,0.00549258,104892,
guthlac a b.txt,on,0.01853862,0.01616333,0.00237529,0.00237529,48817,ge,0.01651064,0.01592455,0.00058609,0.00296139,48817,eo,0.01540447,0.01481712,0.00058735,0.00354873,48817,an,0.01485138,0.01912302,0.00427164,0.00782037,48817,ea,0.01382715,0.01641587,0.00258872,0.01040909,48817,
homiletic fragment i.txt,an,0.01708359,0.01912302,0.00203943,0.00203943,1639,on,0.01586333,0.01616333,0.0003,0.00233943,1639,ne,0.01586333,0.01321248,0.00265085,0.00499028,1639,ge,0.01403295,0.01592455,0.0018916,0.00688188,1639,es,0.01342282,0.01329797,0.00012485,0.00700673,1639,
homiletic fragment ii.txt,eo,0.02745665,0.01481712,0.01263953,0.01263953,692,ge,0.0216763,0.01592455,0.00575175,0.01839128,692,an,0.01734104,0.01912302,0.00178198,0.02017326,692,on,0.01445087,0.01616333,0.00171246,0.02188572,692,re,0.01445087,0.00995112,0.00449974,0.02638546,692,
judith.txt,on,0.01887367,0.01616333,0.00271034,0.00271034,13140,an,0.01575342,0.01912302,0.0033696,0.00607993,13140,ea,0.01552511,0.01641587,0.00089075,0.00697069,13140,ge,0.01476408,0.01592455,0.00116047,0.00813116,13140,eo,0.01362253,0.01481712,0.0011946,0.00932575,13140,
juliana.txt,ge,0.01608443,0.01592455,0.00015988,0.00015988,25677,on,0.01522764,0.01616333,0.00093569,0.00109558,25677,an,0.01456556,0.01912302,0.00455746,0.00565303,25677,eo,0.01421506,0.01481712,0.00060207,0.0062551,25677,ea,0.01386455,0.01641587,0.00255132,0.00880642,25677,
latin-english proverbs.txt,it,0.02898551,0.00180706,0.02717845,0.02717845,207,að,0.02898551,0.00336847,0.02561704,0.05279549,207,es,0.02415459,0.01329797,0.01085662,0.0636521,207,sc,0.02415459,0.00328003,0.02087456,0.08452667,207,or,0.01932367,0.01089642,0.00842725,0.09295392,207,
maxims i.txt,on,0.01878149,0.01616333,0.00261816,0.00261816,8732,an,0.01752176,0.01912302,0.00160126,0.00421942,8732,ea,0.0171782,0.01641587,0.00076233,0.00498175,8732,ge,0.01626202,0.01592455,0.00033748,0.00531923,8732,eo,0.01603298,0.01481712,0.00121586,0.00653509,8732,
maxims ii.txt,ea,0.02830189,0.01641587,0.01188602,0.01188602,2756,an,0.0243106,0.01912302,0.00518758,0.0170736,2756,ce,0.01995646,0.00618862,0.01376784,0.03084143,2756,al,0.01886792,0.00628001,0.01258792,0.04342935,2756,sc,0.01777939,0.00328003,0.01449936,0.05792871,2756,
metrical charm 1 to restore farmland.txt,an,0.0348567,0.01912302,0.01573368,0.01573368,3873,nd,0.0232378,0.01238511,0.01085269,0.02658637,3873,on,0.01962303,0.01616333,0.0034597,0.03004608,3873,ne,0.01729925,0.01321248,0.00408677,0.03413285,3873,ea,0.01290989,0.01641587,0.00350598,0.03763882,3873,
metrical charm 10 for loss of cattle.txt,an,0.02424242,0.01912302,0.0051194,0.0051194,660,st,0.01969697,0.00704351,0.01265346,0.01777286,660,is,0.01818182,0.00390498,0.01427683,0.0320497,660,ri,0.01818182,0.00395608,0.01422574,0.04627543,660,on,0.01363636,0.01616333,0.00252697,0.0488024,660,
metrical charm 11 a journey charm.txt,an,0.02487245,0.01912302,0.00574943,0.00574943,1568,nd,0.02232143,0.01238511,0.00993632,0.01568575,1568,ge,0.01721939,0.01592455,0.00129484,0.01698059,1568,ea,0.01530612,0.01641587,0.00110974,0.01809033,1568,es,0.01530612,0.01329797,0.00200815,0.02009848,1568,
metrical charm 12 against a wen.txt,ne,0.02906977,0.01321248,0.01585728,0.01585728,516,ea,0.0251938,0.01641587,0.00877793,0.02463522,516,al,0.02325581,0.00628001,0.01697581,0.04161102,516,er,0.02131783,0.00663081,0.01468702,0.05629805,516,es,0.02131783,0.01329797,0.00801986,0.0643179,516,
metrical charm 2 the nine herbs charm.txt,an,0.02529915,0.01912302,0.00617613,0.00617613,2925,on,0.01709402,0.01616333,0.00093069,0.00710681,2925,wi,0.0157265,0.00518732,0.01053918,0.01764599,2925,nd,0.01435897,0.01238511,0.00197387,0.01961986,2925,eo,0.01401709,0.01481712,0.00080003,0.02041989,2925,
metrical charm 3 against a dwarf.txt,an,0.05034325,0.01912302,0.03122023,0.03122023,874,ma,0.01601831,0.00335962,0.01265868,0.04387891,874,on,0.01487414,0.01616333,0.00128919,0.0451681,874,þæ,0.01487414,0.00507039,0.00980376,0.05497186,874,ga,0.01372998,0.00365146,0.01007851,0.06505037,874,
metrical charm 4 to stop a stabbing pain.txt,an,0.0228013,0.01912302,0.00367828,0.00367828,1228,es,0.02035831,0.01329797,0.00706033,0.01073862,1228,te,0.01872964,0.00758593,0.01114372,0.02188233,1228,er,0.01547231,0.00663081,0.00884151,0.03072384,1228,en,0.01465798,0.0103992,0.00425878,0.03498261,1228,
metrical charm 5 for loss of cattle.txt,eþ,0.02644836,0.00519518,0.02125318,0.02125318,794,ri,0.02267003,0.00395608,0.01871394,0.03996713,794,on,0.02141058,0.01616333,0.00524725,0.04521438,794,st,0.02141058,0.00704351,0.01436707,0.05958144,794,ne,0.0163728,0.01321248,0.00316031,0.06274176,794,
metrical charm 6 charms for successful pregnancy.txt,an,0.03495007,0.01912302,0.01582705,0.01582705,1402,ne,0.0256776,0.01321248,0.01246512,0.02829217,1402,eþ,0.02068474,0.00519518,0.01548956,0.04378173,1402,on,0.01997147,0.01616333,0.00380814,0.04758987,1402,nn,0.0192582,0.00448375,0.01477445,0.06236432,1402,
metrical charm 7 for the water-elf disease.txt,ea,0.02519894,0.01641587,0.00878307,0.00878307,754,ne,0.02122016,0.01321248,0.00800768,0.01679075,754,an,0.02122016,0.01912302,0.00209714,0.01888789,754,on,0.01856764,0.01616333,0.00240431,0.0212922,754,nn,0.01458886,0.00448375,0.01010511,0.0313973,754,
metrical charm 8 for a swarm of bees.txt,an,0.04524887,0.01912302,0.02612585,0.02612585,442,wi,0.03167421,0.00518732,0.02648689,0.05261274,442,nd,0.03167421,0.01238511,0.0192891,0.07190184,442,eo,0.01809955,0.01481712,0.00328243,0.07518427,442,es,0.01809955,0.01329797,0.00480158,0.07998584,442,
metrical charm 9 for loss of cattle.txt,an,0.03069054,0.01912302,0.01156752,0.01156752,782,en,0.0230179,0.0103992,0.0126187,0.02418622,782,nd,0.01790281,0.01238511,0.00551771,0.02970392,782,ne,0.01662404,0.01321248,0.00341156,0.03311548,782,fe,0.01534527,0.0049505,0.01039476,0.04351025,782,
metrical epilogue to the pastoral care.txt,er,0.0166205,0.00663081,0.00998969,0.00998969,1083,ne,0.01385042,0.01321248,0.00063793,0.01062762,1083,æt,0.01292705,0.00499472,0.00793233,0.01855996,1083,we,0.01292705,0.00656497,0.00636208,0.02492204,1083,an,0.01200369,0.01912302,0.00711933,0.03204137,1083,
metrical preface to the pastoral care.txt,en,0.01808318,0.0103992,0.00768398,0.00768398,553,nd,0.01627486,0.01238511,0.00388976,0.01157374,553,or,0.01446655,0.01089642,0.00357013,0.01514387,553,is,0.01265823,0.00390498,0.00875324,0.02389711,553,st,0.01265823,0.00704351,0.00561471,0.02951183,553,
pharaoh.txt,es,0.02090592,0.01329797,0.00760795,0.00760795,287,þæ,0.01393728,0.00507039,0.0088669,0.01647485,287,ær,0.01393728,0.00357285,0.01036443,0.02683928,287,de,0.01393728,0.01264649,0.0012908,0.02813007,287,re,0.01393728,0.00995112,0.00398616,0.03211623,287,
precepts.txt,ge,0.01634082,0.01592455,0.00041627,0.00041627,3427,on,0.01575722,0.01616333,0.00040611,0.00082238,3427,eo,0.01517362,0.01481712,0.0003565,0.00117888,3427,ea,0.01342282,0.01641587,0.00299305,0.00417193,3427,de,0.01313102,0.01264649,0.00048453,0.00465646,3427,
psalm 50.txt,an,0.01949905,0.01912302,0.00037603,0.00037603,6308,ne,0.01299937,0.01321248,0.00021312,0.00058915,6308,de,0.01268231,0.01264649,3.582e-05,0.00062497,6308,ge,0.01252378,0.01592455,0.00340077,0.00402574,6308,ea,0.01220672,0.01641587,0.00420914,0.00823488,6308,
resignation.txt,on,0.02247941,0.01616333,0.00631608,0.00631608,4493,ge,0.01468952,0.01592455,0.00123503,0.00755112,4493,ea,0.01424438,0.01641587,0.00217149,0.0097226,4493,eo,0.01313154,0.01481712,0.00168558,0.01140819,4493,ne,0.01246383,0.01321248,0.00074865,0.01215684,4493,
riddle 1.txt,on,0.0198915,0.01616333,0.00372817,0.00372817,553,re,0.01808318,0.00995112,0.00813206,0.01186023,553,eþ,0.01446655,0.00519518,0.00927137,0.0211316,553,ea,0.01446655,0.01641587,0.00194932,0.02308092,553,as,0.01446655,0.00468716,0.00977939,0.0328603,553,
riddle 10.txt,nd,0.02094241,0.01238511,0.0085573,0.0085573,382,on,0.01832461,0.01616333,0.00216128,0.01071858,382,um,0.01832461,0.00870711,0.0096175,0.02033608,382,de,0.01570681,0.01264649,0.00306032,0.0233964,382,en,0.01570681,0.0103992,0.0053076,0.028704,382,
riddle 11.txt,eo,0.02083333,0.01481712,0.00601621,0.00601621,336,de,0.02083333,0.01264649,0.00818685,0.01420306,336,re,0.01785714,0.00995112,0.00790602,0.02210908,336,or,0.01488095,0.01089642,0.00398454,0.02609361,336,ge,0.01488095,0.01592455,0.0010436,0.02713721,336,
riddle 12.txt,um,0.0210325,0.00870711,0.01232539,0.01232539,523,eo,0.01912046,0.01481712,0.00430334,0.01662873,523,on,0.01720841,0.01616333,0.00104508,0.01767381,523,nd,0.01720841,0.01238511,0.00482331,0.02249712,523,me,0.01720841,0.00548407,0.01172434,0.03422146,523,
